LCS01.LC3RRUN.FOS1MH01,MDSS01.LC03RUN.FOS1MH01,MDSS01.LC03CALC.FOS1EV01,2,Stbd_MPBP_RunHours      ,Kris,
LCS01.LC3RRUN.FOS1MH06,MDSS01.LC03RUN.FOS1MH06,MDSS01.LC03CALC.FOS1EV06,2,GT_PHeater_SteadyStateH ,Kris,
LCS01.LC3RRUN.FOS1MH07,MDSS01.LC03RUN.FOS1MH07,MDSS01.LC03CALC.FOS1EV07,2,GT_PreHeater_RunHours,Kris,
LCS01.LC3RRUN.FOS2MH01,MDSS01.LC03RUN.FOS2MH01,MDSS01.LC03CALC.FOS2EV01,2,Port_MPBP_RunHours      ,Kris,
LCS01.LC3RRUN.FOS2MH06,MDSS01.LC03RUN.FOS2MH06,MDSS01.LC03CALC.FOS2EV06,2,GT FOS Pump 2 Run Hours,Kris,
LCS01.LC3RRUN.FOT1MH01,MDSS01.LC03RUN.FOT1MH01,MDSS01.LC03CALC.FOT1EV01,2,Run Hours               ,Kris,
LCS01.LC3RRUN.FOT1MH04,MDSS01.LC03RUN.FOT1MH04,MDSS01.LC03CALC.FOT1EV04,2,FOTPUMP1A Run Hours     ,Kris,
LCS01.LC3RRUN.FOT2MH01,MDSS01.LC03RUN.FOT2MH01,MDSS01.LC03CALC.FOT2EV01,2,FOP1B Running Hours     ,Kris,
LCS01.LC3RRUN.FOT2MH04,MDSS01.LC03RUN.FOT2MH04,MDSS01.LC03CALC.FOT2EV04,2,FOTPUMP1B Running Hours ,Kris,
LCS01.LC3RRUN.GT01MH26,MDSS01.LC03RUN.GT01MH26,MDSS01.LC03CALC.GT01EV01,2,GTMP Runhours           ,Trey,
LCS01.LC3RRUN.GT02MH26,MDSS01.LC03RUN.GT02MH26,MDSS01.LC03CALC.GT01EV01,2,GTMP Runhours           ,Trey,
LCS01.LC3RRUN.JLSSMH01,MDSS01.LC03RUN.JLSSMH01,MDSS01.LC03CALC.JLSSEV02,2,STBD STEER CLNG PP HOURS,Will,
LCS01.LC3RRUN.JLSSMH02,MDSS01.LC03RUN.JLSSMH02,MDSS01.LC03CALC.JLSSEV04,2,STBD STEER LO PP HOUR   ,Will,
LCS01.LC3RRUN.JLSSMH03,MDSS01.LC03RUN.JLSSMH03,MDSS01.LC03CALC.JLSSEV05,2,STBD STEER LO HOURS     ,Will,
LCS01.LC3RRUN.LCS3CH01,MDSS01.LC03RUN.LCS3CH01,MDSS01.LC03CALC.LCS3EV02,2,LCS3 Ship Calendar Hours,Eric,
LCS01.LC3RRUN.MP01MH01,MDSS01.LC03RUN.MP01MH01,MDSS01.LC03CALC.MP01EV01,2,MPACRun_Hours           ,Mike S,
LCS01.LC3RRUN.MP02MH01,MDSS01.LC03RUN.MP02MH01,MDSS01.LC03CALC.MP02EV01,2,MPACRun_Hours           ,Mike S,
LCS01.LC3RRUN.MSW1MH01,MDSS01.LC03RUN.MSW1MH01,MDSS01.LC03OPC.MSWPUMP1,2,NR1MSW_HOURS            ,Kris,
LCS01.LC3RRUN.MSW2MH01,MDSS01.LC03RUN.MSW2MH01,MDSS01.LC03OPC.MSWPUMP2,2,NR2MSW_HOURS            ,Kris,
LCS01.LC3RRUN.MSW3MH01,MDSS01.LC03RUN.MSW3MH01,MDSS01.LC03OPC.MSWPUMP3,2,NR3MSW_HOURS            ,Kris,
LCS01.LC3RRUN.MSW4MH01,MDSS01.LC03RUN.MSW4MH01,MDSS01.LC03OPC.MSWPUMP4,2,NR4MSW_HOURS            ,Kris,
LCS01.LC3RRUN.MSW5MH01,MDSS01.LC03RUN.MSW5MH01,MDSS01.LC03OPC.MSWPUMP5,2,NR5MSW_HOURS            ,Kris,
LCS01.LC3RRUN.PD01MH01,MDSS01.LC03RUN.PD01MH01,MDSS01.LC03CALC.PD01EV01,2,PDES Total Hours        ,Trey,
LCS01.LC3RRUN.PD02MH01,MDSS01.LC03RUN.PD02MH01,MDSS01.LC03CALC.PD02EV01,2,PDEP Total Hours        ,Trey,
LCS01.LC3RRUN.RCSCMH01,MDSS01.LC03RUN.RCSCMH01,MDSS01.LC03CALC.RCSCEV01,2,Nr1 Fin Stab Cooler Rh,Kris,
LCS01.LC3RRUN.RCSCMH02,MDSS01.LC03RUN.RCSCMH02,MDSS01.LC03CALC.RCSCEV01,2,Nr2 Fin Stab Cooler Rh,Kris,
LCS01.LC3RRUN.RO1AMH01,MDSS01.LC03RUN.RO1AMH01,MDSS01.LC03CALC.RO1AEV02,2,RO1A Run Hours          ,Mike S,
LCS01.LC3RRUN.RO1BMH01,MDSS01.LC03RUN.RO1BMH01,MDSS01.LC03CALC.RO1BEV02,2,RO1B Run Hours          ,Mike S,
LCS01.LC3RRUN.SG01MH01,MDSS01.LC03RUN.SG01MH01,MDSS01.LC03CALC.SG01EV01,2,SG1 - On                ,Will,
LCS01.LC3RRUN.SG02MH01,MDSS01.LC03RUN.SG02MH01,MDSS01.LC03CALC.SG02EV01,2,SG2 - On                ,Will,
LCS01.LC3RRUN.SGLOMH01,MDSS01.LC03RUN.SGLOMH01,MDSS01.LC03CALC.SGLOEV01,2,SGLOXRUN_HOURS          ,Trey,
LCS01.LC3RRUN.WHSSMH19,MDSS01.LC03RUN.WHSSMH19,MDSS01.LC03CALC.SG01EV19,2,STBD PTO PUMP RUN HOURS ,Will,
LCS01.LC3RRUN.WJPBMH01,MDSS01.LC03RUN.WJPBMH01,MDSS01.LC03CALC.WJPBEV01,2,Boost_Run_Hours         ,Will,
LCS01.LC3RRUN.WJPSMH01,MDSS01.LC03RUN.WJPSMH01,MDSS01.LC03CALC.WJPSEV01,2,Steer_Run_Hours         ,Will,
