MDSS01.LC03PRMA.AC02046,Comp 2B Motor ODE Bearing worndamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC02047,Comp 2B Lamination wornloose,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC02048,Comp 2B Stator Windings openshorted,,,,,Shipboard BBNs
MDSS01.LC03PRMA.AC02050,Comp 2B Motor Foundation Foot brokenwarped,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01001,CG Oil Cooler Reduced Performance,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01002,CG Temp Reg Valve Malfunction,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01003,CG Elec Lube Oil Pump WornFaulty,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01004,CG Mech Lube Oil Pump WornFaulty,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01010,PD LS Pinion Gear Aft (1) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01011,PD LS Pinion Gear Fwd (2) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01012,PD HS Pinion Gear Aft (3) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01013,PD Input Shaft Fwd (4) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01014,GT Pinion Gear Aft (11) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01015,GT Pinion Gear Aft (11) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01016,Idler Gear Aft (7) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01017,Idler Gear Fwd (8) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01018,Idler Shaft HS Gear Aft (9) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01019,Idler Shaft HS Gear Fwd (10) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01020,GT Pinion Gear Aft (11) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01021,GT Pinion Gear Fwd (12) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01022,SSC Fwd (13) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01023,GT Pinion Gear Aft (11) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01024,PD Input Shaft Aft (15) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01025,Output Shaft Fwd Thrust (17F) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01026,Output Shaft Aft Thrust (17A) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01027,SCC Malfunction,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01028,MDC-HS (Idler) WornDamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01029,MDC-LS (diesel) WornDamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01030,Line Shaft Bearing 1 Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01031,Line Shaft Bearing 3 Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01032,GT Pinion Gear Worndamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01033,PD Pinion Gear Worndamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01036,Idle Gear Worndamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01037,CG Output Gear WornDamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01038,Propulsion Diesel Flex Coupling worndamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01039,High Speed Coupling worndamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01040,Motor Misalignment,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01041,GT Pinion Gear Aft (11) Brg Wear,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01042,Electrical Imbalance,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01043,Rotor Bars CrackedLoose,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01044,Motor DE Bearing WornDamaged,,,,,Shipboard BBNs
MDSS01.LC03PRMA.CG01045,Motor ODE Bearing WornDamaged,,,,,Shipboard BBNs
