MDSS01.LC03MDC.FOTLFC25,FatCum25                ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLFC50,FatCum50                ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLFCMN,FatCntMean              ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLFCMS,FatMaxSize              ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLFCSD,FatCntStdDev            ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLFCXL,FatCum100               ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLFIBE,Fibers                  ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLHAL,HAL                     ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLISO4,ISO4                    ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLISO6,ISO6                    ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLISOL,ISO14                   ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLMD05,MdiamCum5               ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLMD10,MdiamCum10              ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLMD15,MdiamCum15              ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLMD20,MdiamCum20              ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLMD25,MdiamCum25              ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLMD50,MDiamCum50              ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLMDMN,MdiamMeanSize           ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLMDMS,MdiamMaxSize            ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLMDSD,MdiamStdDev             ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLMDXL,MDiamCum10              ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLNAIR,NAVAIR                  ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLNAS,NAS                     ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLNS05,NAS 5 um                ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLNS15,NAS 15 um               ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLNS25,NAS 20 um               ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLNS50,NAS 50 um               ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLNSXL,NAS gt 100 um           ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLNV05,NAV Code 5 um           ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLNV15,NAV Code 15 um          ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLNV25,NAV Code 20 um          ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLNV50,NAV Code 50 um          ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLNVXL,NAV Code gt 100 um      ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLOC20,Other Cum 20 um         ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLOC25,OtherCum25              ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLOC50,OtherCum50              ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLOCMN,OtherCntMean            ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLOCMS,OtherMaxSize            ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLOCSD,OtherCntStdDev          ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLOCXL,OtherCum100             ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLOX20,OxideCum20              ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLOX25,OxideCum25              ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLOX50,OxideCum50              ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLOXMN,OxideCntMean            ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLOXMS,OxideMaxSize            ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLOXSD,OxideCntStdDev          ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLOXXL,OxideCum100             ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLSA04,SAE4                    ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLSA06,SAE6                    ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLSA14,SAE14                   ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLSA21,SAE21                   ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLSA38,SAE38                   ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLSA70,SAE70                   ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLSAE,SAE                     ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLSAEM,SAEmax                  ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLSC20,SlideCum20              ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLSC25,SlideCum25              ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLSC50,SlideCum50              ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLSCMN,SlideCntMean            ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLSCMS,SlideMaxSize            ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLSCSD,SlideCntStdDev          ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
MDSS01.LC03MDC.FOTLSCXL,SlideCum100             ,,,MDSS01.LC03CALC.DG01EV02,0|1002,LMS_FOT
